Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
,Fine Silk Toga,Armor,Armor,Arcane,26,,3,-5,Earth ,14,,,7,Infrequent,7616,Imperia,,,,,,,,Earth Fine Silk Toga
,Fine Silk Toga,Armor,Armor,Arcane,26,,3,-5,Fire ,14,,,7,Infrequent,7616,Imperia,,,,,,,,Fire Fine Silk Toga
,Fine Silk Toga,Armor,Armor,Arcane,26,,3,-5,Water ,14,,,7,Infrequent,7616,Imperia,,,,,,,,Water Fine Silk Toga
,Heavy Robes,Armor,Armor,Arcane,30,,3,-5,Air ,16,,,8,Frequent,8960,Expanse,,,,,,,,Air Heavy Robes
,Heavy Robes,Armor,Armor,Arcane,30,,3,-5,Earth ,16,,,8,Frequent,8960,Expanse,,,,,,,,Earth Heavy Robes
,Heavy Robes,Armor,Armor,Arcane,30,,3,-5,Fire ,16,,,8,Frequent,8960,Expanse,,,,,,,,Fire Heavy Robes
,Heavy Robes,Armor,Armor,Arcane,30,,3,-5,Water ,16,,,8,Frequent,8960,Expanse,,,,,,,,Water Heavy Robes
,Hooded Cloak,Armor,Armor,Arcane,14,,2,-3,,,,,4,Frequent,2560,Nordagh,,,,,,,,Hooded Cloak
,Hooded Wrap,Armor,Armor,Arcane,30,,3,-5,Air ,14,,,8,Infrequent,8704,Expanse,,,,,,,,Air Hooded Wrap
,Hooded Wrap,Armor,Armor,Arcane,30,,3,-5,Earth ,14,,,8,Infrequent,8704,Expanse,,,,,,,,Earth Hooded Wrap
,Hooded Wrap,Armor,Armor,Arcane,30,,3,-5,Fire ,14,,,8,Infrequent,8704,Expanse,,,,,,,,Fire Hooded Wrap
,Hooded Wrap,Armor,Armor,Arcane,30,,3,-5,Water ,14,,,8,Infrequent,8704,Expanse,,,,,,,,Water Hooded Wrap
,Leather Cloak,Armor,Armor,Arcane,34,,4,-8,Air ,16,,,9,Frequent,9504,Nordagh,,,,,,,,Air Leather Cloak
,Leather Cloak,Armor,Armor,Arcane,34,,4,-8,Earth ,16,,,9,Frequent,9504,Nordagh,,,,,,,,Earth Leather Cloak
,Leather Cloak,Armor,Armor,Arcane,34,,4,-8,Fire ,16,,,9,Frequent,9504,Nordagh,,,,,,,,Fire Leather Cloak
,Leather Cloak,Armor,Armor,Arcane,34,,4,-8,Water ,16,,,9,Frequent,9504,Nordagh,,,,,,,,Water Leather Cloak
,Light Wrap,Armor,Armor,Arcane,14,,2,-3,Air ,10,,,4,Frequent,3840,Expanse,,,,,,,,Air Light Wrap
,Light Wrap,Armor,Armor,Arcane,14,,2,-3,Earth ,10,,,4,Frequent,3840,Expanse,,,,,,,,Earth Light Wrap
,Light Wrap,Armor,Armor,Arcane,14,,2,-3,Fire ,10,,,4,Frequent,3840,Expanse,,,,,,,,Fire Light Wrap
,Light Wrap,Armor,Armor,Arcane,14,,2,-3,Water ,10,,,4,Frequent,3840,Expanse,,,,,,,,Water Light Wrap
,Padded Silk Toga,Armor,Armor,Arcane,74,,6,-12,Air ,24,,,19,Very Rare,25536,Imperia,,,,,,,,Air Padded Silk Toga
,Padded Silk Toga,Armor,Armor,Arcane,74,,6,-12,Earth ,24,,,19,Very Rare,25536,Imperia,,,,,,,,Earth Padded Silk Toga
,Padded Silk Toga,Armor,Armor,Arcane,74,,6,-12,Fire ,24,,,19,Very Rare,25536,Imperia,,,,,,,,Fire Padded Silk Toga
,Padded Silk Toga,Armor,Armor,Arcane,74,,6,-12,Water ,24,,,19,Very Rare,25536,Imperia,,,,,,,,Water Padded Silk Toga
,Sequined Robe,Armor,Armor,Arcane,54,,5,-10,Air ,20,,,14,Rare,17024,Steppes,,,,,,,,Air Sequined Robe
,Sequined Robe,Armor,Armor,Arcane,54,,5,-10,Earth ,20,,,14,Rare,17024,Steppes,,,,,,,,Earth Sequined Robe
,Sequined Robe,Armor,Armor,Arcane,54,,5,-10,Fire ,20,,,14,Rare,17024,Steppes,,,,,,,,Fire Sequined Robe
,Sequined Robe,Armor,Armor,Arcane,54,,5,-10,Water ,20,,,14,Rare,17024,Steppes,,,,,,,,Water Sequined Robe
,Short Del,Armor,Armor,Arcane,18,,2,-4,,,,,5,Frequent,3040,Expanse,,,,,,,,Short Del
,Silk Del,Armor,Armor,Arcane,38,,4,-8,Air ,18,,,10,Infrequent,11520,Steppes,,,,,,,,Air Silk Del
,Silk Del,Armor,Armor,Arcane,38,,4,-8,Earth ,18,,,10,Infrequent,11520,Steppes,,,,,,,,Earth Silk Del
,Silk Del,Armor,Armor,Arcane,38,,4,-8,Fire ,18,,,10,Infrequent,11520,Steppes,,,,,,,,Fire Silk Del
,Silk Del,Armor,Armor,Arcane,38,,4,-8,Water ,18,,,10,Infrequent,11520,Steppes,,,,,,,,Water Silk Del
,Velvet Robe,Armor,Armor,Arcane,22,,3,-5,Air ,12,,,6,Infrequent,6144,Nordagh,,,,,,,,Air Velvet Robe
,Velvet Robe,Armor,Armor,Arcane,22,,3,-5,Earth ,12,,,6,Infrequent,6144,Nordagh,,,,,,,,Earth Velvet Robe
,Velvet Robe,Armor,Armor,Arcane,22,,3,-5,Fire ,12,,,6,Infrequent,6144,Nordagh,,,,,,,,Fire Velvet Robe
,Velvet Robe,Armor,Armor,Arcane,22,,3,-5,Water ,12,,,6,Infrequent,6144,Nordagh,,,,,,,,Water Velvet Robe
,Warrior Del,Armor,Armor,Arcane,78,,6,-12,Water ,24,,,20,Very Rare,26880,Steppes,,,,,,,,Water Warrior Del
,Woven Toga,Armor,Armor,Arcane,10,,1,-2,,,,,3,Common,1824,Imperia,,,,,,,,Woven Toga
,Bear Pelt,Armor,Armor,Barbarian,75,,6,-12,Air ,6,,,19,Frequent,96558,Nordagh,,,,Classspecific,,,,Air Bear Pelt
,Bear Pelt,Armor,Armor,Barbarian,75,,6,-12,Earth ,6,,,19,Frequent,96558,Nordagh,,,,Classspecific,,,,Earth Bear Pelt
,Bear Pelt,Armor,Armor,Barbarian,75,,6,-12,Fire ,6,,,19,Frequent,96558,Nordagh,,,,Classspecific,,,,Fire Bear Pelt
,Bear Pelt,Armor,Armor,Barbarian,75,,6,-12,Water ,6,,,19,Frequent,96558,Nordagh,,,,Classspecific,,,,Water Bear Pelt
,Buffalo Hide,Armor,Armor,Barbarian,55,,5,-10,Air ,10,,,15,Rare,101640,Expanse,,,,Classspecific,,,,Air Buffalo Hide
,Buffalo Hide,Armor,Armor,Barbarian,55,,5,-10,Earth ,10,,,15,Rare,101640,Expanse,,,,Classspecific,,,,Earth Buffalo Hide
,Buffalo Hide,Armor,Armor,Barbarian,55,,5,-10,Fire ,10,,,15,Rare,101640,Expanse,,,,Classspecific,,,,Fire Buffalo Hide
,Buffalo Hide,Armor,Armor,Barbarian,55,,5,-10,Water ,10,,,15,Rare,101640,Expanse,,,,Classspecific,,,,Water Buffalo Hide
,Chimera Pelt,Armor,Armor,Barbarian,67,,6,-12,Air ,14,,,17,Very Rare,131648,Expanse,,,,Classspecific,,,,Air Chimera Pelt
,Chimera Pelt,Armor,Armor,Barbarian,67,,6,-12,Earth ,14,,,17,Very Rare,131648,Expanse,,,,Classspecific,,,,Earth Chimera Pelt
,Chimera Pelt,Armor,Armor,Barbarian,67,,6,-12,Fire ,14,,,17,Very Rare,131648,Expanse,,,,Classspecific,,,,Fire Chimera Pelt
,Chimera Pelt,Armor,Armor,Barbarian,67,,6,-12,Water ,14,,,17,Very Rare,131648,Expanse,,,,Classspecific,,,,Water Chimera Pelt
,Griffin Pelt,Armor,Armor,Barbarian,63,,6,-12,Air ,12,,,16,Rare,112288,Steppes,,,,Classspecific,,,,Air Griffin Pelt
,Horse Hide,Armor,Armor,Barbarian,71,,6,-12,Air ,8,,,18,Frequent,100188,Nordagh,,,,Classspecific,,,,Air Horse Hide
,Horse Hide,Armor,Armor,Barbarian,71,,6,-12,Earth ,8,,,18,Frequent,100188,Nordagh,,,,Classspecific,,,,Earth Horse Hide
,Horse Hide,Armor,Armor,Barbarian,71,,6,-12,Fire ,8,,,18,Frequent,100188,Nordagh,,,,Classspecific,,,,Fire Horse Hide
,Horse Hide,Armor,Armor,Barbarian,71,,6,-12,Water ,8,,,18,Frequent,100188,Nordagh,,,,Classspecific,,,,Water Horse Hide
,Jackal Pelt,Armor,Armor,Barbarian,11,,1,-2,Air ,8,,,3,Common,19602,Expanse,,,,Classspecific,,,,Air Jackal Pelt
,Jackal Pelt,Armor,Armor,Barbarian,11,,1,-2,Earth ,8,,,3,Common,19602,Expanse,,,,Classspecific,,,,Earth Jackal Pelt
,Jackal Pelt,Armor,Armor,Barbarian,11,,1,-2,Fire ,8,,,3,Common,19602,Expanse,,,,Classspecific,,,,Fire Jackal Pelt
,Jackal Pelt,Armor,Armor,Barbarian,11,,1,-2,Water ,8,,,3,Common,19602,Expanse,,,,Classspecific,,,,Water Jackal Pelt
,Lamb's Hide,Armor,Armor,Barbarian,3,,1,-1,,,,,1,Common,4840,Nordagh,,,,Classspecific,,,,Lamb's Hide
,Leather Garb,Armor,Armor,Barbarian,35,1,4,-8,,,,,9,Common,37026,Steppes,,,,,,,,Leather Garb
,Mountain Lion Hide,Armor,Armor,Barbarian,27,,3,-5,Air ,4,,,7,Common,37268,Nordagh,,,,Classspecific,,,,Air Mountain Lion Hide
,Mountain Lion Hide,Armor,Armor,Barbarian,27,,3,-5,Earth ,4,,,7,Common,37268,Nordagh,,,,Classspecific,,,,Earth Mountain Lion Hide
,Mountain Lion Hide,Armor,Armor,Barbarian,27,,3,-5,Fire ,4,,,7,Common,37268,Nordagh,,,,Classspecific,,,,Fire Mountain Lion Hide
,Mountain Lion Hide,Armor,Armor,Barbarian,27,,3,-5,Water ,4,,,7,Common,37268,Nordagh,,,,Classspecific,,,,Water Mountain Lion Hide
,Patched Cape,Armor,Armor,Barbarian,7,,1,-2,Air ,4,,,2,Common,11132,Nordagh,,,,,,,,Air Patched Cape
,Patched Cape,Armor,Armor,Barbarian,7,,1,-2,Earth ,4,,,2,Common,11132,Nordagh,,,,,,,,Earth Patched Cape
,Patched Cape,Armor,Armor,Barbarian,7,,1,-2,Fire ,4,,,2,Common,11132,Nordagh,,,,,,,,Fire Patched Cape
,Patched Cape,Armor,Armor,Barbarian,7,,1,-2,Water ,4,,,2,Common,11132,Nordagh,,,,,,,,Water Patched Cape
,Wolfskin,Armor,Armor,Barbarian,19,,2,-4,Air ,4,,,5,Common,26620,Nordagh,,,,,,,,Air Wolfskin
,Wolfskin,Armor,Armor,Barbarian,19,,2,-4,Earth ,4,,,5,Common,26620,Nordagh,,,,,,,,Earth Wolfskin
,Wolfskin,Armor,Armor,Barbarian,19,,2,-4,Fire ,4,,,5,Common,26620,Nordagh,,,,,,,,Fire Wolfskin
,Wolfskin,Armor,Armor,Barbarian,19,,2,-4,Water ,4,,,5,Common,26620,Nordagh,,,,,,,,Water Wolfskin
,Imperial Body Armor,Armor,Armor,Centurion,91,,6,-12,Air ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Air Imperial Body Armor
,Imperial Body Armor,Armor,Armor,Centurion,91,,6,-12,Earth ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Earth Imperial Body Armor
,Imperial Body Armor,Armor,Armor,Centurion,91,,6,-12,Fire ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Fire Imperial Body Armor
,Imperial Body Armor,Armor,Armor,Centurion,91,,6,-12,Water ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Water Imperial Body Armor
,Dark Dark Mail,Armor,Armor,DarkLegion,20,,6,-12,Dark ,20,,,20,Unique,164560,Imperia,,,,Classspecific,,,,Dark Dark Mail
,Witch's Robe,Armor,Armor,Galdr,10,,4,-8,Air ,20,,,10,Common,87120,Nordagh,,,,Classspecific,,,,Air Witch's Robe
,Witch's Robe,Armor,Armor,Galdr,10,,4,-8,Earth ,20,,,10,Common,87120,Nordagh,,,,Classspecific,,,,Earth Witch's Robe
,Witch's Robe,Armor,Armor,Galdr,10,,4,-8,Fire ,20,,,10,Common,87120,Nordagh,,,,Classspecific,,,,Fire Witch's Robe
,Witch's Robe,Armor,Armor,Galdr,10,,4,-8,Water ,20,,,10,Common,87120,Nordagh,,,,Classspecific,,,,Water Witch's Robe
,Dark Galverg's Armor,Armor,Armor,Galverg,91,,10,-1,Dark ,20,,,1,Unique,11858,Nordagh,,,,Classspecific,,,,Dark Galverg's Armor
,Dark Gwazi CS armor,Armor,Armor,Gwazi,78,,,-1,Dark ,0,,,1,Unique,4598,Expanse,,,,,,,,Dark Gwazi CS armor
,Armored Suit,Armor,Armor,Heavy,51,,4,-10,Air ,12,,,11,Frequent,59400,Steppes,,,,,,,,Air Armored Suit
,Armored Suit,Armor,Armor,Heavy,51,,4,-10,Earth ,12,,,11,Frequent,59400,Steppes,,,,,,,,Earth Armored Suit
,Armored Suit,Armor,Armor,Heavy,51,,4,-10,Fire ,12,,,11,Frequent,59400,Steppes,,,,,,,,Fire Armored Suit
,Armored Suit,Armor,Armor,Heavy,51,,4,-10,Water ,12,,,11,Frequent,59400,Steppes,,,,,,,,Water Armored Suit
,Brace Plate,Armor,Armor,Heavy,46,,4,-8,Air ,12,,,10,Infrequent,60000,Imperia,,,,,,,,Air Brace Plate
,Brace Plate,Armor,Armor,Heavy,46,,4,-8,Earth ,12,,,10,Infrequent,60000,Imperia,,,,,,,,Earth Brace Plate
,Brace Plate,Armor,Armor,Heavy,46,,4,-8,Fire ,12,,,10,Infrequent,60000,Imperia,,,,,,,,Fire Brace Plate
,Brace Plate,Armor,Armor,Heavy,46,,4,-8,Water ,12,,,10,Infrequent,60000,Imperia,,,,,,,,Water Brace Plate
,Braced Armor,Armor,Armor,Heavy,33,,3,-5,Air ,10,,,7,Frequent,40600,Expanse,,,,,,,,Air Braced Armor
,Brave Armor,Armor,Armor,Heavy,64,,5,-10,,,,,14,Rare,50400,Imperia,,,,,,,,Brave Armor
,Bronze Gear,Armor,Armor,Heavy,24,,2,-4,Air ,6,,,5,Common,24000,Expanse,,,,,,,,Air Bronze Gear
,Bronze Gear,Armor,Armor,Heavy,24,,2,-4,Earth ,6,,,5,Common,24000,Expanse,,,,,,,,Earth Bronze Gear
,Bronze Gear,Armor,Armor,Heavy,24,,2,-4,Fire ,6,,,5,Common,24000,Expanse,,,,,,,,Fire Bronze Gear
,Bronze Gear,Armor,Armor,Heavy,24,,2,-4,Water ,6,,,5,Common,24000,Expanse,,,,,,,,Water Bronze Gear
,Bronze Layered Shell,Armor,Armor,Heavy,28,,3,-5,Air ,6,,,6,Frequent,30000,Imperia,,,,,,,,Air Bronze Layered Shell
,Bronze Layered Shell,Armor,Armor,Heavy,28,,3,-5,Earth ,6,,,6,Frequent,30000,Imperia,,,,,,,,Earth Bronze Layered Shell
,Bronze Layered Shell,Armor,Armor,Heavy,28,,3,-5,Fire ,6,,,6,Frequent,30000,Imperia,,,,,,,,Fire Bronze Layered Shell
,Bronze Layered Shell,Armor,Armor,Heavy,28,,3,-5,Water ,6,,,6,Frequent,30000,Imperia,,,,,,,,Water Bronze Layered Shell
,Bronze Plate,Armor,Armor,Heavy,19,,2,-3,Air ,4,,,4,Common,18400,Imperia,,,,,,,,Air Bronze Plate
,Bronze Plate,Armor,Armor,Heavy,19,,2,-3,Earth ,4,,,4,Common,18400,Imperia,,,,,,,,Earth Bronze Plate
,Bronze Plate,Armor,Armor,Heavy,19,,2,-3,Fire ,4,,,4,Common,18400,Imperia,,,,,,,,Fire Bronze Plate
,Bronze Plate,Armor,Armor,Heavy,19,,2,-3,Water ,4,,,4,Common,18400,Imperia,,,,,,,,Water Bronze Plate
,Crude Iron Plate,Armor,Armor,Heavy,10,,1,-2,,,,,2,Common,7600,Steppes,,,,,,,,Crude Iron Plate
,Dark Armor,Armor,Armor,Heavy,60,,5,-10,,,,,13,Very Rare,49400,Imperia,,,,,,,,Dark Armor
,Golden Suit,Armor,Armor,Heavy,73,,6,-12,Air ,16,,,16,Very Rare,108800,Expanse,,,,,,,,Air Golden Suit
,Golden Suit,Armor,Armor,Heavy,73,,6,-12,Earth ,16,,,16,Very Rare,108800,Expanse,,,,,,,,Earth Golden Suit
,Golden Suit,Armor,Armor,Heavy,73,,6,-12,Fire ,16,,,16,Very Rare,108800,Expanse,,,,,,,,Fire Golden Suit
,Golden Suit,Armor,Armor,Heavy,73,,6,-12,Water ,16,,,16,Very Rare,108800,Expanse,,,,,,,,Water Golden Suit
,Heavy Chain Gorget,Armor,Armor,Heavy,10,,1,-2,Air ,4,,,2,Infrequent,10000,Imperia,,,,,,,,Air Heavy Chain Gorget
,Heavy Chain Gorget,Armor,Armor,Heavy,10,,1,-2,Earth ,4,,,2,Infrequent,10000,Imperia,,,,,,,,Earth Heavy Chain Gorget
,Heavy Chain Gorget,Armor,Armor,Heavy,10,,1,-2,Fire ,4,,,2,Infrequent,10000,Imperia,,,,,,,,Fire Heavy Chain Gorget
,Heavy Chain Gorget,Armor,Armor,Heavy,10,,1,-2,Water ,4,,,2,Infrequent,10000,Imperia,,,,,,,,Water Heavy Chain Gorget
,Heavy Gear,Armor,Armor,Heavy,46,,4,-8,,,,,10,Frequent,34000,Imperia,,,,,,,,Heavy Gear
,Heavy Gorget,Armor,Armor,Heavy,6,,1,-1,,,,,1,Common,4000,Steppes,,,,,,,,Heavy Gorget
,Horned Shell,Armor,Armor,Heavy,37,,3,-5,Air ,10,,,8,Rare,49600,Steppes,,,,,,,,Air Horned Shell
,Horned Shell,Armor,Armor,Heavy,37,,3,-5,Earth ,10,,,8,Rare,49600,Steppes,,,,,,,,Earth Horned Shell
,Horned Shell,Armor,Armor,Heavy,37,,3,-5,Fire ,10,,,8,Rare,49600,Steppes,,,,,,,,Fire Horned Shell
,Horned Shell,Armor,Armor,Heavy,37,,3,-5,Water ,10,,,8,Rare,49600,Steppes,,,,,,,,Water Horned Shell
,Iron Gear,Armor,Armor,Heavy,15,,1,-2,,,,,3,Common,11400,Steppes,,,,,,,,Iron Gear
,Iron Gorget,Armor,Armor,Heavy,6,,1,-1,,,,,1,Common,4000,Imperia,,,,,,,,Iron Gorget
,Legendary Suit,Armor,Armor,Heavy,82,,6,-12,Air ,18,,,18,Very Rare,129600,Imperia,,,,,,,,Air Legendary Suit
,Lorica Segmentata,Armor,Armor,Heavy,24,,2,,Air ,4,,,5,Common,26000,Expanse,,,,,,,,Air Lorica Segmentata
,Lorica Segmentata,Armor,Armor,Heavy,24,,2,,Earth ,4,,,5,Common,26000,Expanse,,,,,,,,Earth Lorica Segmentata
,Lorica Segmentata,Armor,Armor,Heavy,24,,2,,Fire ,4,,,5,Common,26000,Expanse,,,,,,,,Fire Lorica Segmentata
,Lorica Segmentata,Armor,Armor,Heavy,24,,2,,Water ,4,,,5,Common,26000,Expanse,,,,,,,,Water Lorica Segmentata
,Metal Suit,Armor,Armor,Heavy,19,,2,-3,Air ,4,,,4,Common,18400,Imperia,,,,,,,,Air Metal Suit
,Metal Suit,Armor,Armor,Heavy,19,,2,-3,Earth ,4,,,4,Common,18400,Imperia,,,,,,,,Earth Metal Suit
,Metal Suit,Armor,Armor,Heavy,19,,2,-3,Fire ,4,,,4,Common,18400,Imperia,,,,,,,,Fire Metal Suit
,Metal Suit,Armor,Armor,Heavy,19,,2,-3,Water ,4,,,4,Common,18400,Imperia,,,,,,,,Water Metal Suit
,Mighty Gear,Armor,Armor,Heavy,64,,5,-10,Air ,14,,,14,Rare,89600,Expanse,,,,,,,,Air Mighty Gear
,Mighty Gear,Armor,Armor,Heavy,64,,5,-10,Earth ,14,,,14,Rare,89600,Expanse,,,,,,,,Earth Mighty Gear
,Mighty Gear,Armor,Armor,Heavy,64,,5,-10,Fire ,14,,,14,Rare,89600,Expanse,,,,,,,,Fire Mighty Gear
,Mighty Gear,Armor,Armor,Heavy,64,,5,-10,Water ,14,,,14,Rare,89600,Expanse,,,,,,,,Water Mighty Gear
,Nickel Plated Cuirass,Armor,Armor,Heavy,33,,3,-5,Air ,8,,,7,Frequent,37800,Imperia,,,,,,,,Air Nickel Plated Cuirass
,Nickel Plated Cuirass,Armor,Armor,Heavy,33,,3,-5,Earth ,8,,,7,Frequent,37800,Imperia,,,,,,,,Earth Nickel Plated Cuirass
,Nickel Plated Cuirass,Armor,Armor,Heavy,33,,3,-5,Fire ,8,,,7,Frequent,37800,Imperia,,,,,,,,Fire Nickel Plated Cuirass
,Nickel Plated Cuirass,Armor,Armor,Heavy,33,,3,-5,Water ,8,,,7,Frequent,37800,Imperia,,,,,,,,Water Nickel Plated Cuirass
,Obsidian Shell,Armor,Armor,Heavy,78,,6,-12,Air ,16,,,17,Very Rare,115600,Imperia,,,,,,,,Air Obsidian Shell
,Obsidian Shell,Armor,Armor,Heavy,78,,6,-12,Earth ,16,,,17,Very Rare,115600,Imperia,,,,,,,,Earth Obsidian Shell
,Obsidian Shell,Armor,Armor,Heavy,78,,6,-12,Fire ,16,,,17,Very Rare,115600,Imperia,,,,,,,,Fire Obsidian Shell
,Obsidian Shell,Armor,Armor,Heavy,78,,6,-12,Water ,16,,,17,Very Rare,115600,Imperia,,,,,,,,Water Obsidian Shell
,Scaled Heavy Gorget,Armor,Armor,Heavy,37,,3,-5,,,,,8,Frequent,30400,Expanse,,,,,,,,Scaled Heavy Gorget
,Steel Decorated Iron Plate,Armor,Armor,Heavy,42,,4,-8,Air ,12,,,9,Infrequent,54000,Steppes,,,,,,,,Air Steel Decorated Iron Plate
,Steel Decorated Iron Plate,Armor,Armor,Heavy,42,,4,-8,Earth ,12,,,9,Infrequent,54000,Steppes,,,,,,,,Earth Steel Decorated Iron Plate
,Steel Decorated Iron Plate,Armor,Armor,Heavy,42,,4,-8,Fire ,12,,,9,Infrequent,54000,Steppes,,,,,,,,Fire Steel Decorated Iron Plate
,Steel Decorated Iron Plate,Armor,Armor,Heavy,42,,4,-8,Water ,12,,,9,Infrequent,54000,Steppes,,,,,,,,Water Steel Decorated Iron Plate
,Strength Armor,Armor,Armor,Heavy,51,,4,-10,Air ,12,,,11,Frequent,59400,Steppes,,,,,,,,Air Strength Armor
,Strength Armor,Armor,Armor,Heavy,51,,4,-10,Earth ,12,,,11,Frequent,59400,Steppes,,,,,,,,Earth Strength Armor
,Strength Armor,Armor,Armor,Heavy,51,,4,-10,Fire ,12,,,11,Frequent,59400,Steppes,,,,,,,,Fire Strength Armor
,Strength Armor,Armor,Armor,Heavy,51,,4,-10,Water ,12,,,11,Frequent,59400,Steppes,,,,,,,,Water Strength Armor
,Suit of Flight,Armor,Armor,Heavy,69,,5,-10,Water ,16,,,15,Rare,102000,Steppes,,,,,,,,Water Suit of Flight
,The Ferratus,Armor,Armor,Heavy,55,,5,-10,Air ,12,,,12,Infrequent,69600,Imperia,,,,,,,,Air The Ferratus
,The Ferratus,Armor,Armor,Heavy,55,,5,-10,Earth ,12,,,12,Infrequent,69600,Imperia,,,,,,,,Earth The Ferratus
,The Ferratus,Armor,Armor,Heavy,55,,5,-10,Fire ,12,,,12,Infrequent,69600,Imperia,,,,,,,,Fire The Ferratus
,The Ferratus,Armor,Armor,Heavy,55,,5,-10,Water ,12,,,12,Infrequent,69600,Imperia,,,,,,,,Water The Ferratus
,Turtlebone Armor Shell,Armor,Armor,Heavy,60,,5,-10,Water ,14,,,13,Rare,83200,Expanse,,,,,,,,Water Turtlebone Armor Shell
,Segmented Imperial Gear,Armor,Armor,Legionnaire,79,,6,-12,Air ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Air Segmented Imperial Gear
,Segmented Imperial Gear,Armor,Armor,Legionnaire,79,,6,-12,Earth ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Earth Segmented Imperial Gear
,Segmented Imperial Gear,Armor,Armor,Legionnaire,79,,6,-12,Fire ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Fire Segmented Imperial Gear
,Segmented Imperial Gear,Armor,Armor,Legionnaire,79,,6,-12,Water ,10,,,20,Unique,116160,Imperia,,,,Classspecific,,,,Water Segmented Imperial Gear
,Soldier's Skirt,Armor,Armor,Legionnaire,15,,5,-10,,,,,12,Unique,43560,Imperia,,,,Classspecific,,,,Soldier's Skirt
,Arm Brace,Armor,Armor,Light,22,,3,-5,Air ,6,,,6,Frequent,7500,Imperia,,,,,,,,Air Arm Brace
,Arm Brace,Armor,Armor,Light,22,,3,-5,Earth ,6,,,6,Frequent,7500,Imperia,,,,,,,,Earth Arm Brace
,Arm Brace,Armor,Armor,Light,22,,3,-5,Fire ,6,,,6,Frequent,7500,Imperia,,,,,,,,Fire Arm Brace
,Arm Brace,Armor,Armor,Light,22,,3,-5,Water ,6,,,6,Frequent,7500,Imperia,,,,,,,,Water Arm Brace
,Bronze Bracer,Armor,Armor,Light,14,,2,-3,Air ,4,,,4,Frequent,4800,Imperia,,,,,,,,Air Bronze Bracer
,Bronze Bracer,Armor,Armor,Light,14,,2,-3,Earth ,4,,,4,Frequent,4800,Imperia,,,,,,,,Earth Bronze Bracer
,Bronze Bracer,Armor,Armor,Light,14,,2,-3,Fire ,4,,,4,Frequent,4800,Imperia,,,,,,,,Fire Bronze Bracer
,Bronze Bracer,Armor,Armor,Light,14,,2,-3,Water ,4,,,4,Frequent,4800,Imperia,,,,,,,,Water Bronze Bracer
,Chainmail Guard,Armor,Armor,Light,6,,1,-2,Air ,4,,,2,Frequent,2400,Imperia,,,,,,,,Air Chainmail Guard
,Chainmail Guard,Armor,Armor,Light,6,,1,-2,Earth ,4,,,2,Frequent,2400,Imperia,,,,,,,,Earth Chainmail Guard
,Chainmail Guard,Armor,Armor,Light,6,,1,-2,Fire ,4,,,2,Frequent,2400,Imperia,,,,,,,,Fire Chainmail Guard
,Chainmail Guard,Armor,Armor,Light,6,,1,-2,Water ,4,,,2,Frequent,2400,Imperia,,,,,,,,Water Chainmail Guard
,Gold Bracer,Armor,Armor,Light,46,,5,-10,Air ,12,,,12,Very Rare,18600,Expanse,,,,,,,,Air Gold Bracer
,Gold Bracer,Armor,Armor,Light,46,,5,-10,Earth ,12,,,12,Very Rare,18600,Expanse,,,,,,,,Earth Gold Bracer
,Gold Bracer,Armor,Armor,Light,46,,5,-10,Fire ,12,,,12,Very Rare,18600,Expanse,,,,,,,,Fire Gold Bracer
,Gold Bracer,Armor,Armor,Light,46,,5,-10,Water ,12,,,12,Very Rare,18600,Expanse,,,,,,,,Water Gold Bracer
,Iron Bracer,Armor,Armor,Light,10,,1,-2,,,,,3,Common,2850,Expanse,,,,,,,,Iron Bracer
,Leg Brace,Armor,Armor,Light,26,,3,-5,Air ,6,,,7,Frequent,8750,Imperia,,,,,,,,Air Leg Brace
,Leg Brace,Armor,Armor,Light,26,,3,-5,Earth ,6,,,7,Frequent,8750,Imperia,,,,,,,,Earth Leg Brace
,Leg Brace,Armor,Armor,Light,26,,3,-5,Fire ,6,,,7,Frequent,8750,Imperia,,,,,,,,Fire Leg Brace
,Leg Brace,Armor,Armor,Light,26,,3,-5,Water ,6,,,7,Frequent,8750,Imperia,,,,,,,,Water Leg Brace
,Ringmail Guard,Armor,Armor,Light,30,,3,-5,Air ,8,,,8,Infrequent,11200,Steppes,,,,,,,,Air Ringmail Guard
,Ringmail Guard,Armor,Armor,Light,30,,3,-5,Earth ,8,,,8,Infrequent,11200,Steppes,,,,,,,,Earth Ringmail Guard
,Ringmail Guard,Armor,Armor,Light,30,,3,-5,Fire ,8,,,8,Infrequent,11200,Steppes,,,,,,,,Fire Ringmail Guard
,Ringmail Guard,Armor,Armor,Light,30,,3,-5,Water ,8,,,8,Infrequent,11200,Steppes,,,,,,,,Water Ringmail Guard
