//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"Grain","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Grandel","Cyclops","","StatSet3","ItemSetIE","SkillSetAffE","ImperiaMonsterSchool"
"Gratus","Bear","4#","StatSet3","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Gravesly","UndeadMeleeImpA","","StatSet0","ItemSetID","SkillSetAffD","ImperiaOrusLocalRecruits"
"Greater Bear","BearGreater","0#qstBear","StatSet1","ItemSetNE","SkillSetAffE",""
"Gregorias","BanditA","2#","StatSet0","ItemSetIF","SkillSetAffF","ImperiaOrusTribunal"
"Gregorios","SamniteImp","3#Imperia_11","StatSet0","ItemSetIE","SkillSetComb","ImperiaOrusLocalRecruits"
"Greig","Satyr","0#Satyr1","StatSet0","ItemSetNW","SkillSetAffW","Vhyn Vagrants"
"Grendel","Bear","3#","statset0","ItemsetNE","skillsetcomb","The Sylvan Ones"
"Greum","Berserker","1#School_GreenBlack2","statset0","ItemSetNA","skillsetaffA","Masters of the Glade"
"Griffin","Satyr","0#Satyr1","StatSet4","ItemSetIU","SkillSetComb","The Invaders"
"Griko","MongrelShaman","3#Nordagh_12","StatSet2","ItemSetNE","SkillSetAffE","WildernessNordaghMonster"
"Grim","Barbarian","1#Nordagh_08","statset0","itemsetNE","skillsetaffE",""
"Grimr","Berserker","2#berserker06","StatSet0","ItemSetEF","SkillSetAffF","Baneful Berserkers"
"Grislav","Mongrel","1#Nordagh_02","StatSet0","ItemSetIF","SkillSetAffF","Executioner"
"Gross","UndeadMeleeImpA","","StatSet0","ItemSetIF","SkillSetComb","The Loosers"
"Gruk","Mongrel","3#Nordagh_03","StatSet0","ItemSetIW","SkillSetAffW","Executioner"
"Grult","Mongrel","3#Nordagh_08","StatSet4","ItemSetNF","SkillSetAffF","ImperiaTribunal"
"Guildar","Ogre","1#Ogre_01","StatSet0","ItemSetSU","SkillSetComb","Krakens"
"Guin","Gungnir","1#Nordagh_13","Statset0","ItemsetNA","skillsetcomb","High Krigare School"
"Guldana","Cat","","StatSet0","ItemSetSA","SkillSetAffA","Lioness"
"Gundobad","BanditA","3#","StatSet0","ItemSetIA","SkillSetAffA","ImperiaOrusTribunal"
"Gunnlaug","Berserker","3#berserker05","statset0","ItemSetNA","skillsetcomb","BelfortBarbarian"
"Gunthar","Barbarian","2#Nordagh_07","statset0","ItemSetNA","skillsetcomb","NoSchool"
"Gurban","Bear","0#","statset0","itemsetNE","SkillSetAffE","Borte Hulagu"
"Gurg","Satyr","0#Satyr1","StatSet0","ItemSetIA","SkillSetAffA","ImperiaSyrnaPropSchool"
"Gutchluk","Wolf","3#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Guyuk","Archer","3#School_RedPurple4","statset0","ItemSetSW","skillsetcomb","School of Xandus"
"Gwazi","Gwazi","0#","statset0","ItemSetEU","skillsetcomb","Story Characters"
"Gweneth","GungnirF","2#Nordagh_14","statset0","ItemsetNW","skillsetcomb","Dragonheart Militia"
"Haab","Dervish","4#","StatSet3","ItemSetEF","SkillSetComb","WildernessExpanseOutlaw"
"Hagan","SamniteImp","1#Imperia_18","StatSet0","ItemSetIA","SkillSetAffA","ImperiaMawLocalRecruits"
"Haimon","SecutorSte","3#Steppes_03","statset0","ItemsetIE","skillsetcomb","Uvanlig's Motley"
"Hakon","BarbarianF","3#Nordagh_18","statset0","ItemSetNE","skillsetcomb","Lily's House o' Bandits"
"Halapolo","Summoner","3#qstHellGateWater","StatSet1","itemsetHGWater","SummonerHGWater","qstHellGateSchoolWater"
"Hald","Berserker","3#berserker10","StatSet0","ItemSetNA","SkillSetAffA",""
"Haldita","BanditAF","2#","StatSet0","ItemSetIA","SkillSetAffA","ImperiaCroPrisoners"
"Halima","DervishF","4#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Halion","Satyr","1#Satyr1","StatSet0","ItemSetNE","SkillSetAffE","Borte Hulagu"
"Hamelen","Centurion","3#School_TurqRed3","StatSet0","ItemSetIF","SkillSetAffF","ImperiaTrikataPergaGiants"
"Hamid","Cat","4#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesTiger"
"Hamish","MongrelShaman","0#Nordagh_03","StatSet0","ItemSetNA","SkillSetAffA","Mongrel Shamen"
"Hamza","Cat","1#","StatSet0","ItemSetSA","SkillSetAffA","Qo'ai-Marael"
"Har","Yeti","1#Yeti3","statset0","ItemsetNW","skillsetaffW","The Elders"
"Haralda","BerserkerF","0#berserker11","StatSet0","ItemSetSF","SkillSetAffF","Baneful Berserkers"
"Harmhabi","UndeadMeleeSteB","","StatSet2","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Hasani","UndeadMeleeExpB","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Haseen","Minotaur","3#Minotaur5","StatSet5","ItemSetIE","SkillSetAffE","ImperiaChampionship"
"Hate","UndeadMeleeExpA","0#qstHellGateSkeleton","StatSet1","ItemSetED","SkillSetComb",""
"Havalgi","Barbarian","1#Nordagh_17","statset0","ItemSetNW","skillsetaffW","Vargen Irregulars"
"Hawks","Centurion","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCerto"
"Haws","Mongrel","2#Nordagh_11","StatSet0","ItemSetIE","SkillSetAffE","ImperiaMawLocalRecruits"
"Hector","Wolf","3#","statset0","ItemsetNE","skillsetcomb","Masters of the Glade"
"Heidrun","Barbarian","4#Nordagh_20","statset0","ItemSetNF","skillsetcomb","BelfortBarbarian"
"Heirax","Ogre","2#Ogre_08","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Heiron","BanditA","2#","StatSet4","ItemSetIF","SkillSetAffF","ImperiaTribunal"
"Hektor","Cyclops","","StatSet0","ItemSetEA","SkillSetAffA","Story Characters"
"Helios","DarkWolf","","StatSet1","ItemSetIU","SkillSetComb","WildernessExpanseDark"
"Hentutwedjeb","CitizenExpF","","StatSet4","ItemSetEU","SkillSetComb","Expanse Citizens"
"Henut","DervishF","1#Expanse_10","StatSet0","ItemSetEA","SkillSetAffA","The Underclass of Akar An"
"Henutmire","DervishF","","StatSet0","ItemSetEA","SkillSetAffA","whirlwind"
"Henutsen","ChannelerImp","3#School_BlackBlack4","StatSet0","ItemSetEE","SkillSetAffE","Riot Gyhrls"
"Heptepnebi","Summoner","3#Expanse_11","StatSet0","ItemSetEW","SummonerWaterFocus","The Fearsome Foursome"
"Heqet","BanditAF","0#","StatSet0","ItemSetSU","SkillSetComb","Bhilly Bandits"
"Heraclitus","DarkLegionnaire","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Herathe","Peltast","3#Imperia_05","statset0","ItemSetIW","skillsetcomb","ImperiaPirgosMunio"
"Heratyl","PeltastF","1#School_YellowBlue4","StatSet0","ItemSetIU","SkillSetComb","Borte Hulagu"
"Heris","Murmillo","4#Imperia_01","StatSet0","ItemSetSW","SkillSetAffW","Warriors of Fortitude"
"Hermagoras","Legionnaire","3#School_RedPurple4","statset0","ItemSetIE","SkillSetAffE","School of Xandus"
"Hermes","Satyr","3#Satyr1","StatSet0","ItemSetIW","SkillSetAffW","School of Past Glory"
"Hermina","Amazon","3#Steppes_01","StatSet0","ItemSetEF","SkillSetComb","ImperiaSyrnaAntonio"
"HERO","","3#","","","",""
"Herophe","Murmillo","4#Imperia_06","StatSet0","ItemSetIU","SkillSetComb","Rhun Rhyot"
"Hexa","Ogre","0#Ogre_07","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Hiera","wolf","2#","StatSet2","ItemSetIE","SkillSetAffE","WildernessImperiaWolf"
"Hieronim","SecutorImp","4#Imperia_16","StatSet5","ItemSetIF","SkillSetAffF","ImperiaOrusOrcusDomini"
"Himilco","CitizenNor","0#Imperia_01","StatSet4","ItemSetGuard","SkillSetComb","ImperiaTribunal"
"Hippolytus","Murmillo","0#School_RedPurple4","statset0","itemsetIW","skillsetcomb","School of Xandus"
"Hisperian","Cat","3#","StatSet0","ItemSetNA","SkillSetAffA","BelfortBeast"
"Hoalu","Archer","1#Steppes_01","StatSet0","ItemSetSA","SkillSetAffA","Poachers"
"Hodur","Bear","0#","statset0","ItemsetNE","skillsetaffE","The Sylvan Ones"
"Ho'elun","BanditA","2#","StatSet0","ItemSetSE","SkillSetComb","The Plainsdwellers"
"Hoknu","MongrelShaman","3#School_BlueGreen5","StatSet0","ItemSetEF","SkillSetAffF","School of Osiris"
"Holun","BanditBF","2#","StatSet2","ItemSetSF","SkillSetComb","WildernessSteppesOutlaw"
"Home","PropStatue","0#","statue","ItemSetIE","statue",""
"Horazm","Cat","","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Horlan","UndeadMeleeSteB","","StatSet0","ItemSetSD","SkillSetAffD","School of Past Glory"
"Hornedjitef","Dervish","0#School_BlackPurple4","StatSet0","ItemSetEU","SkillSetComb","Quarry Warriors"
"Houlun","Archer","2#School_YellowGreen3","statset0","ItemSetSW","SkillSetAffW","Rywigo Arrowheads"
"Hridi","Satyr","2#Satyr1","StatSet0","ItemSetSA","SkillSetComb","Shepards of Sloan"
"Hrod","Bear","2#","statset0","ItemsetNE","skillsetaffE","Masters of the Glade"
"Hroude","Bear","","StatSet0","ItemSetNE","SkillSetAffE","eyes of the Beast"
"Hrungnyru","Mongrel","2#Nordagh_01","StatSet0","ItemSetIF","SkillSetComb","ImperiaMawMongrelBand"
"Hugotori","SamniteImp","2#School_TurqRed1","StatSet1","ItemSetIF","SkillSetAffF","ImperiaTrikataPergaGiants"
"Huisdean","UndeadMeleeNorB","0#Nordagh_06","statset0","ItemsetND","skillsetcomb","Death after Death"
"Hulagh","Archer","","StatSet0","ItemSetSU","SkillSetComb","Rangers"
"Hulagu","SecutorSteF","1#School_BlackBlack4","statset0","ItemSetSF","SkillSetAffF","Riot Gyhrls"
"Hurmiz","Summoner","2#Expanse_01","StatSet0","ItemSetEW","SummonerqstPFW","The Royal Casters"
"Hylas","CyclopsGreater","","StatSet0","itemsetCyclopsGreater","skillsetFinal","Story Characters"
"Hylas_fight","CyclopsGreater","","StatSet0","itemsetCyclopsGreater","skillsetBoss","Story Characters"
"Hypatios","BanditA","4#","StatSet4","ItemSetIW","SkillSetAffW","ImperiaTribunal"
"Hypnus","Cyclops","0#School_YellowBlack4","StatSet0","ItemSetSF","SkillSetAffF","School of Suyhron"
"Hypsipyle","Legionnaire","","StatSet0","ItemSetSF","SkillSetAffF","warriors of Fortitude"
"Iaar","Yeti","2#Yeti2","StatSet0","ItemSetNU","SkillSetComb",""
"Iain","BanditA","1#","StatSet0","ItemSetNE","SkillSetAffE",""
"Ialemon","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetAffD","Story Characters"
"Iamus","Cyclops","0#School_RedBrown4","StatSet0","ItemSetEU","SkillSetComb","Mortuus' Minions"
"Iana","PeltastF","2#Imperia_12","statset0","ItemSetIF","SkillSetAffF","NoSchool"
"Ianassa","BanditAF","","StatSet1","ItemSetIE","SkillSetAffE","WildernessImperiaOutlaw"
"Ianessa","BanditBF","4#","statset0","ItemSetIE","SkillSetAffE","NoSchool"
"Iasos","Cyclops","0#School_RedBrown5","StatSet0","ItemSetEF","SkillSetAffF","Mortuus' Minions"
"Iasus","SamniteImp","0#School_BlackRed3","StatSet5","ItemsetNA","skillsetcomb","Shadow of the Empire"
"Ibycus","Cyclops","","StatSet0","ItemSetSA","SkillSetAffA","Krakens"
"Ichchi","Scarab","2#Bug_09","statset0","ItemSetEF","SkillSetAffF","Eyes of the Beast"
"Ichci","Scarab","3#","StatSet3","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Idarodo","Ogre","3#Ogre_10","statset0","ItemSetSA","SkillSetAffA","Poachers"
"Idomeneu","Centurion","","StatSet0","ItemSetSF","SkillSetAffF","warriors of Fortitude"
"Idomeneus","BanditB","3#","StatSet4","ItemSetSE","SkillSetComb","ImperiaTrikataTribunal"
"Idzi","SecutorImp","2#Imperia_07","StatSet0","ItemSetIF","SkillSetAffF","ImperiaOrusOrcusDomini"
"Ihnku","Archer","3#Steppes_11","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Ihpicus","Peltast","0#School_BlackPurple4","StatSet0","ItemSetIW","SkillSetAffW","Quarry Warriors"
"Ikhem","ChannelerImp","","StatSet0","ItemSetEA","SkillSetAffF","lioness"
"Ikkat","MongrelShaman","2#","StatSet0","ItemSetNW","SkillSetAffW","WildernessNordaghMonster"
"Ikuk","Cyclops","2#","StatSet3","ItemSetEU","SkillSetComb","NoSchool"
"Ileana","BanditAF","1#","StatSet0","ItemSetIF","SkillSetComb","ImperiaOrusTribunal"
"Illf","Satyr","3#Satyr1","StatSet0","ItemSetIE","SkillSetComb","Shepards of Sloan"
"Illias","Cyclops","0#School_YellowBlack4","StatSet0","ItemSetSF","SkillSetAffF","School of Suyhron"
"Ils","Satyr","3#Satyr1","StatSet0","ItemSetSW","SkillSetComb","The Invaders"
"Imaus","Wolf","3#","StatSet5","ItemSetIE","SkillSetAffE","ImperiaBelfortLocalRecruits"
"Imly","GungnirF","2#Nordagh_10","statset0","ItemsetNA","skillsetaffA","Dragonheart Militia"
"Inalchuk","ChannelerImp","2#Expanse_07","statset0","itemsetIA","skillsetcomb",""
"Inebni","UndeadMeleeExpB","","StatSet1","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Inerkha","UndeadMeleeSteB","","StatSet0","ItemSetSA","SkillSetComb","WildernessExpanseUndead"
"Ingvark","Berserker","1#School_BlueWhite2","statset0","ItemSetNU","skillsetcomb","Children of Mjolnir"
"Inkhe","BanditAF","3#","StatSet1","ItemSetSW","SkillSetAffW","Bhilly Bandits"
"Inna","Galdr","1#Nordagh_07","statset0","ItemsetNF","skillsetcomb","The Harbingers"
"Iollas","SamniteImp","4#School_BlackBlue3","StatSet0","ItemSetIF","SkillSetAffF","ImperiaPirgosBrutes"
"Iomhair","Gungnir","2#Nordagh_09","Statset0","ItemsetNE","skillsetaffE","High Krigare School"
"Iongi","Summoner","3#qstHellGateWater","StatSet1","itemsetHGEndW","SummonerWaterFocus","qstHellGateSchoolEnd"
"Iphaido","Legionnaire","1#Imperia_02","StatSet0","ItemSetSW","SkillSetAffW","Warriors of Fortitude"
"Iphitor","Centurion","0#Imperia_02","statset0","ItemSetIW","SkillSetAffW","NoSchool"
"Iphon","BanditA","1#","StatSet2","ItemSetIE","SkillSetAffE","WildernessImperiaOutlaw"
"Ipip","Summoner","","StatSet0","ItemSetEA","SkillSetAffA","Story Characters"
"Ipuky","MongrelShaman","2#Nordagh_12","StatSet0","ItemSetSW","SkillSetAffW","NoSchool"
"Ipuy","Dervish","","StatSet0","ItemSetEA","SkillSetAffA","whirlwind"
"Irbastudjnefu","DervishF","0#School_BlackPurple4","StatSet0","ItemSetEE","SkillSetAffE","Quarry Warriors"
"Irigi","ArcherF","2#","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesOutlaw"
"Irv","BanditA","4#","Statset0","ItemSetNW","skillsetaffW","Scum of the Earth"
"Isetemkheb","ChannelerImp","1#School_BlackBlack4","StatSet0","ItemSetEW","SkillSetAffW","Riot Gyhrls"
"Ishi","Wolf","0#","statset0","itemsetNE","skillsetcomb",""
"Isidore","Peltast","1#Imperia_18","StatSet0","ItemSetIE","SkillSetAffE","ImperiaPirgosGallus"
"Islak","MongrelShaman","1#Nordagh_14","StatSet0","ItemSetSA","SkillSetComb","Mongrel Shamen"
"Istnofret","SamniteExpF","","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Isuke","Cat","3#","statset0","ItemSetSA","SkillSetAffA","NoSchool"
"Ite","BarbarianF","2#Nordagh_04","statset0","ItemSetNF","skillsetcomb","Vargen Irregulars"
"Itet","DervishF","1#Expanse_05","StatSet0","ItemSetEW","SkillSetAffW","The Underclass of Akar An"
"Iufankh","Summoner","3#Expanse_17","StatSet0","ItemSetEF","SummonerFireFocus","The Fearsome Foursome"
"Iuhetibu","BeastAir","","StatSet0","ItemSetEA","skillsetSumAir","The Fearsome Foursome"
"Ivor","UndeadMeleeNorB","0#","StatSet0","ItemSetND","SkillSetAffD","The Unliving"
"Ixidor","Satyr","4#Satyr1","StatSet0","ItemSetNU","SkillSetComb","Rhun Rhyot"
"Iymeru","SecutorSte","","StatSet0","ItemSetEF","SkillSetAffF","Jarha Jesters"
"Iynefert","ChannelerImp","","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Jabari","UndeadMeleeExpB","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Jace","BanditA","4#","StatSet4","ItemSetSE","SkillSetAffE","ImperiaTrikataTribunal"
"Jagun","UndeadCasterA","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Jahke","UndeadCasterA","","StatSet1","ItemSetID","SkillSetAffD","Mortuus' Minions"
"Jahkre","Amazon","3#Steppes_05","statset0","itemsetSE","skillsetcomb","NoSchool"
"Jahkur","Archer","2#Steppes_15","StatSet0","ItemSetSF","SkillSetAffF","Rangers"
"Jahn","BanditAF","","StatSet0","ItemSetSF","SkillSetAffF","Vhyn Vagrants"
"James","Yeti","2#Yeti1","StatSet5","ItemSetNU","SkillSetComb","The Loosers"
"Jansen","Satyr","2#Satyr1","StatSet0","ItemSetIF","SkillSetAffF","ImperiaSyrnaPropSchool"
"Jaran","ArcherF","0#qstSniper","StatSet1","itemsetSniper","SkillSetAffA","Snipers"
"Jarek","Mongrel","4#","StatSet0","ItemSetNW","SkillSetAffW","Executioner"
"Jareth","Wolf","1#","statset0","itemsetNE","skillsetaffE",""
"Jason","Centurion","1#School_BlackOrange2","StatSet0","ItemSetIF","SkillSetAffF","Altheas Vipers"
"Jasunr","Legionnaire","2#School_BlackBlue1","StatSet5","ItemSetIF","SkillSetAffF","ImperiaPirgosBrutes"
"Jayr","Cyclops","0#School_RedBrown4","StatSet0","ItemSetEF","SkillSetAffF","Mortuus' Minions"
"Jeanne","GungnirF","0#Nordagh_19","StatSet0","ItemSetNW","SkillSetComb",""
"Jebhra","Amazon","0#School_YellowGreen4","StatSet0","ItemSetSU","SkillSetComb","Rywigo Arrowheads"
"Jebtsundamba","BearGreater","2#School_YellowBlue5","statset0","itemsetNE","SkillSetAffE","Borte Hulagu"
"Jeff","Summoner","3#","StatSet0","ItemSetEE","SkillSetAffE","The Loosers"
"Jehan","Centurion","3#","StatSet1","ItemSetIF","SkillSetAffF","ImperiaBelfortLocalRecruits"
"Jenica","PeltastF","4#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaPirgosGallus"
"Jerky","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Jeromo","CitizenImp","0#Imperia_20","StatSet4","ItemSetIE","SkillSetComb","ImperiaOrusTribunal"
"Jesec","Satyr","2#Satyr1","StatSet0","ItemSetEF","SkillSetComb","The Invaders"
"Jhara","ArcherF","3#School_YellowBlue3","StatSet0","ItemSetSF","SkillSetAffF","borte Hulagu"
"Jharau","BanditAF","","StatSet0","ItemSetSF","SkillSetAffF","bhilly Bandits"
"Jhaura","Amazon","","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Jheran","BanditAF","","StatSet0","ItemSetSU","SkillSetComb","Vhyn Vagrants"
"Jhubsten","SecutorSte","","StatSet0","ItemSetSF","SkillSetAffF","NoSchool"
"Jhunago","SamniteSte","4#Steppes_01","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Jibade","BanditA","","StatSet0","ItemSetEE","SkillSetAffE","Story Characters"
"Jildiz","UndeadMeleeSteB","","StatSet1","ItemSetSF","SkillSetComb","WildernessSteppesUndead"
"Jochi","BanditA","2#","StatSet1","ItemSetSF","SkillSetAffF","WildernessSteppesOutlaw"
"Jogesh","Wolf","1#","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Jolaunda","CitizenImpF","6#","StatSet4","ItemSetIE","SkillSetComb","ImperiaTrikataTribunal"
"Jorjia","Amazon","0#Steppes_18","StatSet0","ItemSetEA","SkillSetComb","ImperiaSyrnaAntonio"
"Jorunn","Gungnir","1#School_RedYellow1","statset0","itemsetNA","skillsetcomb","Fliuch Falcons"
"Jucha","BanditBF","3#","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Juchi","SecutorSteF","1#Steppes_12","StatSet0","ItemSetSW","SkillSetAffW","The Outcasts"
"Juchin","SamniteSteF","3#School_RedBlue4","statset0","ItemSetSE","SkillSetAffE","Qo'ai-Marael"
"Jucho","UndeadMeleeSteA","","StatSet0","ItemSetSD","SkillSetAfD","School of Past Glory"
"Julius","Centurion","2#Imperia_09","StatSetW","ItemSetIF","SkillSetTrain","ImperiaPirgosLameticus"
"Juno","ChannelerImp","2#Imperia_09","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosMunio"
"Jurgaghan","SecutorSteF","1#School_YellowBlue4","statset0","ItemSetSF","skillsetcomb","Borte Hulagu"
"Justus","Centurion","1#Imperia_08","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosMunio"
"Juterna","SecutorImpF","3#Imperia_10","StatSet0","ItemSetIF","SkillSetComb","ImperiaOrusLocalRecruits"
"Juturna","PeltastF","3#Imperia_01","StatSet0","ItemSetIA","SkillSetComb",""
"Juventas","Centurion","1#Imperia_16","statset0","ItemSetIE","skillsetcomb","ImperiaSchool"
"Jyrgal","UndeadMeleeSteB","","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Kaare","Berserker","2#berserker08","statset0","ItemSetNE","skillsetcomb","BelfortBarbarian"
"Kabul","Ogre","3#School_YellowBlack4","statset0","ItemSetSW","skillsetcomb","School of Suyhron"
"Kacea","GungnirF","4#Nordagh_17","StatSet0","ItemSetEF","SkillSetAffF",""
"Kad","BanditA","2#","Statset0","ItemSetNF","skillsetcomb","Scum of the Earth"
"Kadak","MongrelShaman","1#Nordagh_15","StatSet3","ItemSetNE","SkillSetAffE","WildernessNordaghMonster"
"Kadmos","BanditA","4#","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCroPrisoners"
"Kael","Berserker","1#berserker11","StatSet0","ItemSetNW","SkillSetComb",""
"Kaeneus","Dervish","2#","StatSet4","ItemSetIA","SkillSetComb","ImperiaTrikataTribunal"
"Kaethe","Amazon","","StatSet0","ItemSetSE","SkillSetAffE","ImperiaSyrnaLocalRecruits"
"Kafele","SamniteExp","1#School_BlueGreen5","statset0","ItemSetEU","skillsetcomb","School of Osiris"
"Kaga","UndeadMeleeImpB","","StatSet0","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Kaho","Summoner","4#qstHellGateFire","StatSet1","itemsetHGEndF","SummonerFireFocus","qstHellGateSchoolEnd"
"Kaight","SamniteImpF","","StatSet0","ItemSetIA","SkillSetAffA","Flabios Avengers"
"Kailleaugh","UndeadMeleeNorA","0#Nordagh_07","statset0","ItemSetNE","skillsetcomb","Death after Death"
"Kakla","Summoner","1#qstHellGateEarth","StatSet1","itemsetHGEarth","SummonerHGEarth","qstHellGateSchoolEarth"
"Kakra","BanditAF","3#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseOutlaw"
"Kalan","Gungnir","1#School_RedPurple4","StatSet0","ItemSetNW","SkillSetAffW","School of Xandus"
"Kalaratri","DarkGodShiva","","StatSet0","","skillsetDarkGodShiva","Dark God"
"Kalene","GungnirF","4#Nordagh_17","statset0","ItemsetNF","skillsetcomb","Uvanlig's Motley"
"Kali","Wolf","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Kalikamata","DarkGodShiva","","StatSet0","","skillsetDarkGodShiva","Dark God"
"Kallen","SamniteImpF","1#School_TurqRed1","StatSet0","ItemSetIE","SkillSetAffE","ImperiaTrikataPergaGiants"
"Kallipides","Cyclops","","StatSet0","ItemSetEA","SkillSetAffA","NoSchool"
"Kalzak","UndeadMeleeImpB","","StatSet1","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
